scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,alpha,sd,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr
Aditya Birla SL India GenNext Fund,1000,1000,0.82,3217.0,10,Chanchal Khandelwal,0.01,0.87,0.8,0.02,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,4.6,25.0,13.3
Mahindra Manulife ELSS Fund,500,500,0.73,525.0,6,Fatema Pacha,0.0,0.91,0.89,0.02,6,Mahindra Manulife Mutual Fund,3,Equity,ELSS Mutual Funds,2.3,29.3,12.0
Mirae Asset Great Consumer Fund,1000,5000,0.5,1989.0,10,Ankit Jain,0.02,0.85,0.72,0.04,6,Mirae Asset Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,8.1,27.2,14.0
DSP India T.I.G.E.R. Fund,500,500,1.34,1797.0,10,Rohit Singhania,0.04,0.93,0.72,0.06,6,DSP Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,15.8,36.4,11.9
Templeton India Value Fund,500,5000,0.91,845.0,10,Anand Radhakrishnan,0.03,0.89,0.79,0.05,6,Franklin Templeton Mutual Fund,3,Equity,Value Funds,13.1,39.4,12.3
Nippon India Focused Equity Fund,100,5000,1.2,5929.0,10,Vinay Sharma,0.0,0.96,0.9,0.01,6,Nippon India Mutual Fund,3,Equity,Focused Funds,3.2,33.0,11.9
SBI Focused Equity Fund,500,5000,0.69,26561.0,10,R Srinivasan,-0.04,0.77,0.67,-0.04,6,SBI Mutual Fund,3,Equity,Focused Funds,-4.9,22.0,12.2
JM Tax Gain Fund,500,500,1.45,70.0,10,Gurvinder Singh Wasan,0.0,0.98,0.93,0.01,6,JM Financial Mutual Fund,3,Equity,ELSS Mutual Funds,0.9,26.2,12.8
Navi Large & Midcap Fund,500,10,0.35,234.0,7,Aditya Mulki,-0.01,0.96,0.88,0.01,6,Navi Mutual Fund,3,Equity,Large & Mid Cap Funds,1.6,28.7,12.7
HSBC Value Fund,500,5000,0.84,7781.0,10,Venugopal Manghat,0.01,0.96,0.87,0.03,6,HSBC Mutual Fund,3,Equity,Value Funds,6.8,33.0,11.6
UTI-Long Term Equity Fund,500,500,0.95,2797.0,10,Vetri Subramaniam,-0.02,0.91,0.86,-0.01,6,UTI Mutual Fund,3,Equity,ELSS Mutual Funds,-2.9,24.5,10.9
Kotak Gold Fund,1000,5000,0.18,1406.0,10,Abhishek Bisen,0.01,0.7,0.05,0.02,5,Kotak Mahindra Mutual Fund,3,Other,FoFs Domestic,14.2,12.2,13.7
SBI Gold Fund,500,5000,0.1,1265.0,10,Raviprakash Sharma,0.02,0.72,0.02,0.02,6,SBI Mutual Fund,3,Other,FoFs Domestic,14.8,11.9,13.4
DSP Flexi Cap Fund,500,500,0.76,7725.0,10,Atul Bhole,-0.01,0.93,0.87,0.01,6,DSP Mutual Fund,3,Equity,Flexi Cap Funds,-0.1,22.8,12.0
LIC MF Infrastructure Fund,1000,5000,1.47,90.0,10,Yogesh Patil,0.01,0.94,0.72,0.02,6,LIC Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,6.7,29.8,11.2
DSP Equity Opportunities Fund,500,500,0.91,7110.0,10,Rohit Singhania,0.01,0.88,0.81,0.02,6,DSP Mutual Fund,3,Equity,Large & Mid Cap Funds,3.2,31.6,11.7
IDBI Gold Fund,500,5000,0.26,42.0,10,Nitin Dattaram Dalvi,0.02,0.87,0.01,0.02,5,IDBI Mutual Fund,3,Other,FoFs Domestic,15.0,12.1,12.9
HDFC Focused 30 Fund,100,100,0.54,3609.0,10,Roshi Jain,0.05,0.85,0.79,0.08,6,HDFC Mutual Fund,3,Equity,Focused Funds,16.0,35.8,11.9
ICICI Pru Regular Gold Savings Fund,100,100,0.09,671.0,10,Manish Banthia,0.01,0.73,0.02,0.02,5,ICICI Prudential Mutual Fund,3,Other,FoFs Domestic,14.3,11.7,13.1
Taurus Infrastructure Fund,1000,5000,2.02,5.12,10,Neha Raichura,-0.01,1.07,0.87,0.0,6,Taurus Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,-0.7,25.3,8.9
Edelweiss Flexi Cap Fund,500,5000,0.56,1056.0,8,Trideep Bhattacharya,0.0,0.92,0.89,0.01,6,Edelweiss Mutual Fund,3,Equity,Flexi Cap Funds,1.9,27.5,12.1
Nippon India Power & Infra Fund,100,5000,1.58,1871.0,10,Sanjay Doshi,0.05,0.98,0.8,0.06,6,Nippon India Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,20.4,37.2,10.1
Sundaram Large and Mid Cap Fund,100,100,0.72,4885.0,10,Ravi Gopalakrishnan,-0.01,0.94,0.88,0.0,6,Sundaram Mutual Fund,3,Equity,Large & Mid Cap Funds,-1.3,25.4,11.7
Union Value Discovery Fund,500,1000,1.59,144.0,4,Sanjay Bembalkar,0.01,0.9,0.85,0.02,6,Union Mutual Fund,3,Equity,Value Funds,2.9,29.7,
Invesco India Tax Plan – Direct Growth,500,500,0.92,1833.0,10,Amit Nigam,-0.03,0.93,0.91,-0.02,6,Invesco Mutual Fund,3,Equity,ELSS Mutual Funds,-5.2,22.4,10.8
SBI Flexi Cap Fund,500,1000,0.85,15602.0,10,R Srinivasan,-0.01,0.83,0.79,-0.01,6,SBI Mutual Fund,3,Equity,Flexi Cap Funds,-1.0,25.2,11.0
Sundaram Tax Savings Fund,500,500,1.76,930.0,10,Sudhir Kedia,0.0,0.94,0.9,0.01,6,Sundaram Mutual Fund,3,Equity,ELSS Mutual Funds,1.2,27.7,9.9
SBI Long Term Equity Fund,500,500,1.07,12158.0,10,Dinesh Balachandran,0.02,0.89,0.82,0.04,6,SBI Mutual Fund,3,Equity,ELSS Mutual Funds,8.7,30.1,11.6
Baroda BNP Paribas Focused Fund,300,5000,0.67,299.0,5,Sanjay Chawla,0.0,0.91,0.86,0.01,6,Baroda BNP Paribas Mutual Fund,3,Equity,Focused Funds,0.5,23.1,9.9
ICICI Pru Bharat Consumption Fund,100,5000,1.54,1866.0,4,Sankaran Naren,0.03,0.69,0.56,0.05,6,ICICI Prudential Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,10.2,22.7,
DSP Nifty 50 Equal Weight Index Fund,500,500,0.4,498.0,5,Anil Ghelani,0.0,0.93,0.87,0.01,6,DSP Mutual Fund,3,Other,Index Funds,2.2,30.9,10.7
SBI BlueChip Fund,500,5000,0.9,33987.0,10,Sohini Andani,0.01,0.88,0.87,0.02,6,SBI Mutual Fund,3,Equity,Large Cap Mutual Funds,4.2,27.0,11.4
Edelweiss Long Term Equity Fund,500,500,0.69,209.0,10,Trideep Bhattacharya,0.0,0.93,0.91,0.01,6,Edelweiss Mutual Fund,3,Equity,ELSS Mutual Funds,0.9,25.6,10.2
ICICI Pru Long Term Equity Fund,500,500,1.23,9819.0,10,Harish Bihani,-0.01,0.89,0.87,0.0,6,ICICI Prudential Mutual Fund,3,Equity,ELSS Mutual Funds,-0.2,27.1,11.5
Franklin Build India Fund,500,5000,1.3,1184.0,10,Ajay Argal,0.04,0.94,0.81,0.05,6,Franklin Templeton Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,16.0,36.1,13.3
Baroda BNP Paribas ELSS Fund,500,500,1.12,651.0,10,Sanjay Chawla,-0.02,0.91,0.89,-0.01,6,Baroda BNP Paribas Mutual Fund,3,Equity,ELSS Mutual Funds,-2.4,20.4,10.5
Aditya Birla SL Flexi Cap Fund,100,100,0.86,15449.0,10,Anil Shah,-0.02,0.93,0.9,0.0,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Flexi Cap Funds,-2.1,25.0,10.4
SBI Equity Hybrid Fund,500,1000,0.79,54492.0,10,R Srinivasan,-0.02,0.63,0.6,-0.02,6,SBI Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,-1.9,18.4,10.8
Mirae Asset Large Cap Fund,1000,5000,0.53,32910.0,10,Gaurav Misra,-0.01,0.91,0.9,0.01,6,Mirae Asset Mutual Fund,3,Equity,Large Cap Mutual Funds,0.6,25.3,12.1
Aditya Birla SL FP FoF – Aggressive – Direct Growth,100,100,0.22,159.0,10,Vinod Narayan Bhat,0.0,0.66,0.62,0.01,6,Aditya Birla Sun Life Mutual Fund,3,Other,FoFs Domestic,2.5,21.7,10.7
IDBI Focused 30 Equity Fund,500,5000,1.61,125.0,5,Alok Ranjan,-0.01,0.96,0.96,0.01,6,IDBI Mutual Fund,3,Equity,Focused Funds,0.1,25.2,10.2
Aditya Birla SL Focused Equity Fund,1000,1000,1.06,5633.0,10,Mahesh Patil,-0.01,0.91,0.91,0.0,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Focused Funds,-0.7,24.0,10.7
Navi Flexi Cap Fund,500,10,0.43,202.0,5,Aditya Mulki,0.0,0.92,0.89,0.02,6,Navi Mutual Fund,3,Equity,Flexi Cap Funds,2.1,25.9,
Aditya Birla SL Asset Allocator FoF-Dir Growth,1000,1000,0.53,157.0,10,Vinod Narayan Bhat,-0.01,0.43,0.39,-0.01,5,Aditya Birla Sun Life Mutual Fund,3,Other,FoFs Domestic,2.0,18.9,9.7
Shriram Long Term Equity Fund,500,500,0.6,36.0,4,Deepak Ramaraju,0.0,0.92,0.89,0.01,6,Shriram Mutual Fund,3,Equity,ELSS Mutual Funds,0.8,20.1,
DSP Equity & Bond Fund,500,500,0.78,7358.0,10,Atul Bhole,-0.01,0.7,0.65,0.0,6,DSP Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,0.6,18.7,10.7
Motilal Oswal Long Term Equity Fund,500,500,0.8,2187.0,8,Aditya Khemani,0.01,0.98,0.9,0.02,6,Motilal Oswal Mutual Fund,3,Equity,ELSS Mutual Funds,8.5,25.0,10.0
Invesco India Growth Opportunities Fund,100,1000,0.66,3665.0,10,Amit Ganatra,0.0,0.9,0.85,0.01,6,Invesco Mutual Fund,3,Equity,Large & Mid Cap Funds,0.8,22.8,11.0
ICICI Pru Nifty 50 Index Fund,100,100,0.17,3977.0,10,Kayzad Eghlim,0.0,0.96,0.98,0.01,6,ICICI Prudential Mutual Fund,3,Other,Index Funds,0.9,26.1,11.9
UTI-Nifty 50 Index Fund,500,5000,0.2,9475.0,10,Sharwan Kumar Goyal,0.0,0.96,0.98,0.01,6,UTI Mutual Fund,3,Other,Index Funds,0.9,26.2,12.0
Tata Nifty 50 Index Fund,150,5000,0.16,369.0,10,Sonam Udasi,0.0,0.96,0.98,0.01,6,Tata Mutual Fund,3,Other,Index Funds,1.0,25.6,12.0
LIC MF S&P BSE Sensex Index Fund,1000,5000,0.38,68.0,10,Jaiprakash Toshniwal,0.0,0.97,0.99,0.02,6,LIC Mutual Fund,3,Other,Index Funds,2.2,25.4,12.6
Franklin India Taxshield – Direct Growth,500,500,1.12,4584.0,10,R Janakiraman,0.0,0.93,0.89,0.02,6,Franklin Templeton Mutual Fund,3,Equity,ELSS Mutual Funds,4.9,29.3,11.4
UTI-Hybrid Equity Fund,500,1000,1.34,4286.0,10,V Srivatsa,0.01,0.67,0.65,0.03,6,UTI Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,5.3,25.8,9.8
Nippon India Index Fund,100,100,0.2,638.0,10,Mehul Dama,0.0,0.96,0.98,0.01,6,Nippon India Mutual Fund,3,Other,Index Funds,0.9,26.0,11.9
HDFC Hybrid Equity Fund,100,100,1.09,18729.0,10,Chirag Setalvad,0.02,0.69,0.67,0.03,6,HDFC Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,7.7,25.6,11.3
HDFC Index Fund,100,100,0.2,7457.0,10,Nirman Morakhia,0.0,0.96,0.98,0.01,6,HDFC Mutual Fund,3,Other,Index Funds,0.9,26.0,12.0
Aditya Birla SL Frontline Equity Fund,100,100,1.03,21131.0,10,Mahesh Patil,0.0,0.9,0.89,0.01,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Large Cap Mutual Funds,1.6,26.3,10.6
DSP Nifty 50 Index Fund,500,500,0.24,271.0,4,Anil Ghelani,0.0,0.96,0.98,0.01,6,DSP Mutual Fund,3,Other,Index Funds,0.9,25.8,
IDBI Nifty 50 Index Fund,500,5000,0.32,188.0,10,Nisha Sharma,0.0,0.96,0.98,0.01,6,IDBI Mutual Fund,3,Other,Index Funds,0.8,25.8,11.8
Aditya Birla SL Nifty 50 Index Fund,1000,100,0.32,494.0,10,Lovelish Solanki,0.0,0.96,0.98,0.01,6,Aditya Birla Sun Life Mutual Fund,3,Other,Index Funds,0.7,25.5,11.6
SBI Nifty Index Fund,500,5000,0.18,3324.0,10,Raviprakash Sharma,0.0,0.96,0.98,0.01,6,SBI Mutual Fund,3,Other,Index Funds,0.9,26.0,11.8
LIC MF Nifty 50 Index Fund,1000,5000,0.2,53.0,10,Jaiprakash Toshniwal,0.0,0.96,0.98,0.01,6,LIC Mutual Fund,3,Other,Index Funds,1.0,25.8,11.7
Franklin India NSE Nifty 50 Index Fund,500,5000,0.24,482.0,10,Varun Sharma,0.0,0.95,0.97,0.01,6,Franklin Templeton Mutual Fund,3,Other,Index Funds,0.9,25.6,11.6
ICICI Pru Retirement Fund,100,5000,1.12,152.0,4,Lalit Kumar,-0.01,0.7,0.63,-0.01,6,ICICI Prudential Mutual Fund,3,Solution Oriented,Retirement Funds,1.7,32.4,13.3
Motilal Oswal Equity Hybrid Fund,500,500,0.94,385.0,5,Siddharth Bothra,0.01,0.67,0.63,0.03,6,Motilal Oswal Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,1.7,32.4,13.3
HSBC Equity Hybrid Fund,500,5000,1.0,474.0,4,Neelotpal Sahai,-0.02,0.85,0.71,-0.02,6,HSBC Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,1.7,32.4,13.3
Kotak Flexi Cap Fund,500,5000,0.68,35775.0,10,Harsha Upadhyaya,0.0,0.96,0.92,0.02,6,Kotak Mahindra Mutual Fund,3,Equity,Flexi Cap Funds,3.8,25.0,11.7
L&T Focused Equity Fund,500,5000,1.09,946.0,4,Venugopal Manghat,-0.02,1.01,0.8,-0.02,6,L&T Mutual Fund,3,Equity,Focused Funds,-0.7,33.7,11.3
Franklin India Equity Hybrid Fund,500,5000,1.2,1347.0,10,Rajasa Kakulavarapu,0.0,0.65,0.63,0.02,6,Franklin Templeton Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,5.3,22.5,11.0
SBI Multi Asset Allocation Fund,500,5000,0.88,609.0,10,Dinesh Balachandran,0.0,0.46,0.33,0.01,6,SBI Mutual Fund,3,Hybrid,Multi Asset Allocation Mutual Funds,5.9,16.1,9.6
Nippon India Large Cap Fund,100,100,1.01,12524.0,10,Sailesh Raj Bhan,0.03,0.95,0.93,0.04,6,Nippon India Mutual Fund,3,Equity,Large Cap Mutual Funds,8.4,29.5,12.6
ICICI Pru Passive Strategy Fund,1000,5000,0.06,93.0,10,Dharmesh Kakkad,0.01,0.85,0.8,0.03,6,ICICI Prudential Mutual Fund,3,Other,FoFs Domestic,4.9,26.3,10.9
Tata Hybrid Equity Fund,150,5000,1.05,3166.0,10,Chandraprakash Padiyar,0.01,0.71,0.71,0.03,6,Tata Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,6.2,22.8,10.5
Indiabulls Equity Hybrid Fund,500,500,1.55,32.0,4,Sumit Bhatnagar,0.0,0.71,0.69,0.02,5,Indiabulls Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,3.2,20.5,
Taurus Tax Shield – Direct Growth,500,500,1.73,59.0,10,Ramneek Kundra,0.02,0.82,0.76,0.04,6,Taurus Mutual Fund,3,Equity,ELSS Mutual Funds,6.8,24.4,10.6
Union Balanced Advantage Fund,500,1000,0.94,1679.0,5,Parijat Agrawal,0.0,0.37,0.37,0.01,3,Union Mutual Fund,3,Hybrid,Dynamic Asset Allocation or Balanced Advantage,3.6,18.3,10.2
Tata Retirement Savings Fund,150,5000,0.68,1557.0,10,Murthy Nagarajan,-0.01,0.74,0.7,0.01,6,Tata Mutual Fund,3,Solution Oriented,Retirement Funds,0.5,19.3,9.4
Aditya Birla SL FP FoF – Moderate – Direct Growth,100,100,0.36,28.0,10,Vinod Narayan Bhat,0.0,0.43,0.4,0.01,5,Aditya Birla Sun Life Mutual Fund,3,Other,FoFs Domestic,3.7,17.3,9.4
Kotak Balanced Advantage Fund,1000,1000,0.48,14279.0,5,Harish Krishnan,0.01,0.46,0.44,0.03,6,Kotak Mahindra Mutual Fund,3,Hybrid,Dynamic Asset Allocation or Balanced Advantage,5.5,18.1,
Shriram Hybrid Equity Fund,1000,5000,0.65,56.0,9,Deepak Ramaraju,0.0,0.72,0.71,0.01,6,Shriram Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,0.7,17.7,8.9
Navi Equity Hybrid Fund,500,10,0.42,82.0,5,Aditya Mulki,0.0,0.71,0.69,0.02,6,Navi Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,3.2,19.7,
ICICI Pru Child Care Fund,100,5000,1.69,844.0,10,Manish Banthia,-0.01,0.66,0.59,0.0,6,ICICI Prudential Mutual Fund,3,Solution Oriented,Childrens Funds,1.0,19.8,8.8
Nippon India Balanced Advantage Fund,100,100,0.65,6593.0,10,Amar Kalkundrikar,0.01,0.44,0.42,0.03,5,Nippon India Mutual Fund,3,Hybrid,Dynamic Asset Allocation or Balanced Advantage,5.3,17.1,10.1
Quantum Tax Saving Fund,500,500,1.29,115.0,14,Christy Mathai,0.01,0.88,0.84,0.02,6,Quantum Mutual Fund,3,Equity,ELSS Mutual Funds,2.9,26.6,8.9
SBI Equity Savings Fund,500,1000,0.67,2264.0,8,Neeraj Kumar,-0.01,0.37,0.33,-0.01,4,SBI Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,2.2,14.6,8.1
Aditya Birla SL Regular Savings Fund,500,500,0.92,1585.0,10,Dhaval Shah,0.0,0.25,0.23,0.01,4,Aditya Birla Sun Life Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,3.6,13.9,7.6
Franklin India Dynamic Asset Allocation FoFs-Dir-G,500,5000,0.46,1103.0,10,Rajasa Kakulavarapu,0.01,0.49,0.46,0.02,4,Franklin Templeton Mutual Fund,3,Other,FoFs Domestic,5.9,18.2,9.2
Invesco India Financial Services Fund,100,1000,1.08,472.0,10,Hiten Jain,0.02,1.11,1.02,0.03,6,Invesco Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,5.9,22.6,10.9
HDFC Hybrid Debt Fund,100,100,1.33,2695.0,10,Shobhit Mehrotra,0.01,0.25,0.22,0.04,4,HDFC Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,6.0,13.3,8.4
AXIS Equity Saver Fund,1000,500,0.88,978.0,8,R Sivakumar,-0.01,0.41,0.41,0.0,4,Axis Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,1.4,12.7,8.8
DSP Dynamic Asset Allocation Fund,500,500,0.71,3770.0,9,Atul Bhole,-0.01,0.42,0.39,0.0,5,DSP Mutual Fund,3,Hybrid,Dynamic Asset Allocation or Balanced Advantage,1.7,12.2,8.3
ICICI Pru Retirement Fund,100,5000,1.0,59.0,4,Lalit Kumar,-0.01,0.25,0.19,-0.03,4,ICICI Prudential Mutual Fund,3,Solution Oriented,Retirement Funds,2.0,9.9,
Tata Equity Saving Fund,150,5000,0.12,142.0,10,Sailesh Jain,0.0,0.29,0.29,0.01,4,Tata Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,3.4,12.0,7.5
HSBC Balanced Advantage Fund,500,5000,0.78,1511.0,10,Ritesh Jain,0.0,0.38,0.36,0.01,4,HSBC Mutual Fund,3,Hybrid,Dynamic Asset Allocation or Balanced Advantage,3.5,13.4,8.0
PGIM India Equity Savings Fund,1000,5000,0.42,143.0,10,Anandha Padmanabhan Anjen,0.0,0.16,0.14,0.01,2,PGIM India Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,4.3,12.6,8.0
HSBC Conservative Hybrid Fund,500,5000,1.34,122.0,10,Ritesh Jain,-0.01,0.29,0.25,-0.02,4,HSBC Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,2.3,10.3,7.5
Franklin India Equity Savings Fund,500,5000,0.71,153.0,5,Rajasa Kakulavarapu,0.0,0.34,0.32,0.02,3,Franklin Templeton Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,4.8,14.0,
Quantum Multi Asset Fund,500,500,0.1,49.0,11,Chirag Mehta,0.0,0.35,0.32,0.02,4,Quantum Mutual Fund,3,Other,FoFs Domestic,5.5,12.4,8.1
ICICI Pru Equity Savings Fund,100,5000,0.54,4936.0,8,Kayzad Eghlim,0.01,0.14,0.1,0.09,2,ICICI Prudential Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,6.2,12.7,7.9
ICICI Pru Retirement Fund,100,5000,1.29,175.0,4,Manish Banthia,0.0,0.09,0.02,0.0,3,ICICI Prudential Mutual Fund,3,Solution Oriented,Retirement Funds,4.6,6.8,
HDFC Credit Risk Debt Fund,100,100,0.95,8437.0,9,Shobhit Mehrotra,0.0,0.09,0.02,0.01,4,HDFC Mutual Fund,3,Debt,Credit Risk Funds,4.6,8.0,7.7
UTI-Dynamic Bond Fund,500,500,0.81,469.0,10,Sudhir Agrawal,0.03,0.49,-0.03,0.06,3,UTI Mutual Fund,3,Debt,Dynamic Bond,12.5,11.0,6.3
Aditya Birla SL Govt Securities Fund,1000,1000,0.29,1351.0,10,Bhupesh Bameta,-0.01,0.13,0.03,-0.05,3,Aditya Birla Sun Life Mutual Fund,3,Debt,Gilt Mutual Funds,3.6,6.0,8.0
DSP Strategic Bond Fund,500,500,0.47,481.0,10,Vikram Chopra,-0.01,0.07,0.02,-0.08,2,DSP Mutual Fund,3,Debt,Dynamic Bond,3.0,5.4,7.3
Nippon India GSF – Direct Growth,100,5000,0.63,1158.0,10,Pranay Sinha,0.0,0.14,0.03,-0.01,2,Nippon India Mutual Fund,3,Debt,Gilt Mutual Funds,4.4,5.5,8.3
AXIS Regular Saver Fund,1000,500,0.86,407.0,10,Devang Shah,-0.01,0.26,0.23,-0.02,4,Axis Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,1.8,10.9,7.0
UTI-Corporate Bond Fund,500,500,0.23,3092.0,5,Anurag Mittal,0.0,0.07,0.02,0.0,2,UTI Mutual Fund,3,Debt,Corporate Bond Mutual Funds,4.2,6.5,
UTI-Regular Savings Fund,500,5000,1.2,1544.0,10,Amandeep Chopra,0.0,0.26,0.23,0.01,4,UTI Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,3.7,13.5,7.2
LIC MF G-Sec Fund,1000,10000,0.76,46.0,10,Marzban Irani,-0.01,0.1,0.02,-0.06,2,LIC Mutual Fund,3,Debt,Gilt Mutual Funds,3.3,4.9,7.7
Franklin India Life Stage FOF-50s + FRP – Dir Growth,500,5000,0.13,18.0,10,Rajasa Kakulavarapu,0.0,0.21,0.18,0.03,3,Franklin Templeton Mutual Fund,3,Other,FoFs Domestic,1.7,32.4,13.3
Kotak Bond Fund,1000,5000,0.63,1584.0,10,Abhishek Bisen,0.0,0.15,0.03,-0.02,2,Kotak Mahindra Mutual Fund,3,Debt,Medium to Long Duration Funds,4.1,6.4,7.7
Kotak Banking and PSU Debt Fund,1000,5000,0.37,5256.0,10,Deepak Agrawal,0.0,0.09,0.02,0.01,3,Kotak Mahindra Mutual Fund,3,Debt,Banking and PSU Mutual Funds,4.7,6.7,7.5
LIC MF Debt Hybrid Fund,1000,5000,1.34,61.0,10,Karan Desai,-0.01,0.25,0.23,-0.01,4,LIC Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,2.5,8.1,6.7
PGIM India Banking&PSU Debt Fund,1000,5000,0.25,53.0,10,Puneet Pal,0.0,0.06,0.01,-0.02,2,PGIM India Mutual Fund,3,Debt,Banking and PSU Mutual Funds,4.1,6.4,7.1
Nippon India Income Fund,100,5000,0.58,238.0,10,Vivek Sharma,0.0,0.12,0.02,0.04,2,Nippon India Mutual Fund,3,Debt,Medium to Long Duration Funds,6.0,5.8,7.9
HDFC Corporate Bond Fund,100,100,0.32,23486.0,10,Anupam Joshi,0.0,0.09,0.02,0.0,3,HDFC Mutual Fund,3,Debt,Corporate Bond Mutual Funds,4.1,6.9,7.3
HDFC Medium Term Debt Fund,100,100,0.58,3538.0,10,Shobhit Mehrotra,0.0,0.11,0.03,-0.01,4,HDFC Mutual Fund,3,Debt,Medium Duration Funds,4.1,6.9,7.4
PGIM India Ultra Short Duration Fund,1000,25000,0.25,405.0,10,Puneet Pal,0.0,0.03,0.0,0.18,2,PGIM India Mutual Fund,3,Debt,Ultra Short Duration Funds,5.5,5.2,7.3
HDFC Short Term Debt Fund,100,100,0.29,11028.0,10,Anil Bamboli,0.0,0.07,0.02,0.02,3,HDFC Mutual Fund,3,Debt,Short Duration Funds,4.7,7.0,7.3
ICICI Pru Bond Fund,100,5000,0.6,2223.0,10,Manish Banthia,0.0,0.15,0.03,0.02,3,ICICI Prudential Mutual Fund,3,Debt,Medium to Long Duration Funds,5.2,6.9,7.3
Nippon India Floating Rate Fund,100,5000,0.27,7288.0,10,Anju Chhajer,0.0,0.05,0.01,0.01,3,Nippon India Mutual Fund,3,Debt,Floater Mutual Funds,4.5,6.9,7.1
SBI Credit Risk Fund,500,10000,0.92,2782.0,10,Lokesh Mallya,0.0,0.06,0.02,0.05,5,SBI Mutual Fund,3,Debt,Credit Risk Funds,5.2,7.2,7.0
PGIM India Dynamic Bond Fund,1000,5000,0.36,135.0,10,Puneet Pal,0.0,0.07,0.01,0.01,2,PGIM India Mutual Fund,3,Debt,Dynamic Bond,4.6,5.7,7.4
PGIM India Gilt Fund,1000,5000,0.39,135.0,10,Puneet Pal,0.0,0.1,0.02,-0.02,3,PGIM India Mutual Fund,3,Debt,Gilt Mutual Funds,4.2,5.3,7.0
Nippon India Banking&Financial Services-DirGrowth,100,5000,1.32,3826.0,10,Vinay Sharma,0.03,1.15,1.04,0.04,6,Nippon India Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,8.8,28.3,9.5
ICICI Pru Banking & Financial Services – DirectGrowth,100,5000,1.1,5871.0,10,Roshan Chutkey,0.02,1.03,0.95,0.03,6,ICICI Prudential Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,7.0,24.9,9.7
SBI Corporate Bond Fund,500,5000,0.34,16551.0,4,Rajeev Radhakrishnan,0.0,0.06,0.01,-0.02,2,SBI Mutual Fund,3,Debt,Corporate Bond Mutual Funds,4.1,6.4,
Kotak Bond – Short Term Fund,1000,5000,0.36,12203.0,10,Deepak Agrawal,0.0,0.08,0.02,-0.01,3,Kotak Mahindra Mutual Fund,3,Debt,Short Duration Funds,4.4,6.5,7.2
DSP Banking & Psu Debt Fund,500,500,0.33,2463.0,10,Vikram Chopra,0.0,0.06,0.01,-0.03,2,DSP Mutual Fund,3,Debt,Banking and PSU Mutual Funds,4.0,6.4,6.9
Franklin India Debt Hybrid Fund,500,10000,0.57,246.0,10,Rajasa Kakulavarapu,0.0,0.24,0.22,0.02,4,Franklin Templeton Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,5.1,9.8,7.0
UTI-Gilt Fund,500,500,0.67,517.0,10,Sudhir Agrawal,0.0,0.08,0.02,0.01,3,UTI Mutual Fund,3,Debt,Gilt Mutual Funds,5.0,5.0,7.3
HSBC Medium Duration Fund,500,5000,0.4,643.0,8,Shriram Ramanathan,0.0,0.1,0.03,-0.02,3,HSBC Mutual Fund,3,Debt,Medium Duration Funds,4.2,7.0,6.7
